ItemID,Year,Quantity,VehID
515003,2006,184840,2006FordRanger-515003-2006
515036,2006,78034,2006CadillacEscalade-515036-2006
515036,2006,14038,2006CadillacEscalade EXT-515036-2006
515036,2006,915939,2006ChevroletSilverado 1500-515036-2006
515036,2006,322982,2006ChevroletTahoe-515036-2006
515036,2006,303460,2006GMCSierra 1500-515036-2006
515036,2006,142952,2006GMCYukon-515036-2006
512003,2006,193030,2006BuickLucerne-512003-2006
512003,2006,116448,2006CadillacDTS-512003-2006
512012,2006,1908,2006AudiTT-512012-2006
512012,2006,70220,2006VolkswagenBeetle-512012-2006
512150,2006,142144,2006BuickLaCrosse-512150-2006
512150,2006,579736,2006ChevroletImpala-512150-2006
512150,2006,217268,2006PontiacGrand Prix-512150-2006
512153,2006,6406,2006CadillacXLR-512153-2006
512153,2006,73036,2006ChevroletCorvette-512153-2006
512154,2006,102786,2006DodgeStratus-512154-2006
512163,2006,349606,2006FordTaurus-512163-2006
512164,2006,349606,2006FordTaurus-512164-2006
512167,2006,277300,2006ChryslerPT Cruiser-512167-2006
512169,2006,422280,2006DodgeGrand Caravan-512169-2006
512181,2006,46334,2006MitsubishiLancer-512181-2006
512183,2006,10482,2006SubaruBaja-512183-2006
512188,2006,142696,2006AcuraTL-512188-2006
512188,2006,708882,2006HondaAccord-512188-2006
512190,2006,76816,2006KiaOptima-512190-2006
512191,2006,76816,2006KiaOptima-512191-2006
512193,2006,69470,2006HyundaiAccent-512193-2006
512194,2006,197706,2006HyundaiElantra-512194-2006
512194,2006,145114,2006KiaSpectra-512194-2006
512195,2006,197706,2006HyundaiElantra-512195-2006
512195,2006,145114,2006KiaSpectra-512195-2006
512196,2006,127862,2006HyundaiSanta Fe-512196-2006
512197,2006,127862,2006HyundaiSanta Fe-512197-2006
512202,2006,464914,2006NissanAltima-512202-2006
512206,2006,88938,2006ToyotaAvalon-512206-2006
512206,2006,448445,2006ToyotaCamry-512206-2006
512207,2006,88938,2006ToyotaAvalon-512207-2006
512207,2006,448445,2006ToyotaCamry-512207-2006
512209,2006,65206,2006ScionxA-512209-2006
